[ROE] AXISBANK | Source=18.4 | Computed=6.9 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=1.88 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=6.36 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=11.01 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=7.38 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=28.38 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=23.53 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=21.72 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.41 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=21.36 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.39 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=22.64 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=19.15 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.56 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.66 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=26.31 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=25.85 | Category=Formula Difference
[ROE] BAJAJHLDNG | Source=14.8 | Computed=9.63 | Category=Formula Difference
[ROE] BAJFINANCE | Source=22.1 | Computed=15.75 | Category=Formula Difference
[ROE] BAJFINANCE | Source=22.1 | Computed=16.28 | Category=Formula Difference
[ROE] BAJFINANCE | Source=22.1 | Computed=11.97 | Category=Formula Difference
[ROE] BAJFINANCE | Source=22.1 | Computed=16.08 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=9.4 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=-11.84 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=4.31 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=-3.94 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=2.12 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=1.29 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=1.97 | Category=Formula Difference
[ROE] BANKBARODA | Source=16.7 | Computed=8.64 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=4.5 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=5.05 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=6.29 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=3.14 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=2.36 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=-39.75 | Category=Formula Difference
[ROE] BHARTIARTL | Source=14.9 | Computed=-20.97 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=15183.33 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=13600.0 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=17100.0 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=11141.67 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=10153.33 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=4616.13 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=3851.02 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=3318.18 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=3559.32 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=3478.26 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=3981.33 | Category=Formula Difference
[ROE] BEL | Source=26.3 | Computed=4744.05 | Category=Formula Difference
